,Jak Pan/Pani ocenia wygodę jazdy pojazdami komunikacji zbiorowej?,Jak Pan/Pani ocenia punktualność komunikacji zbiorowej we Wrocławiu?,Jak ocenia Pan/Pani efekty dotychczasowych działań związanych z rozbudową systemu rowerowego we Wrocławiu (dróg i parkingów rowerowych)?,PIESZO Niekorzystne ustawienia sygnalizacji świetlnej,PIESZO Brak chodników i konieczność poruszania się jezdnią/poboczem/wydeptaną ścieżką,PIESZO Zły stan nawierzchni chodników,PIESZO Zastawianie chodników przez parkujące samochody,PIESZO Niebezpieczne zachowania kierowców,PIESZO Zagrożenie ze strony rowerzystów poruszających się chodnikami,PIESZO Zbyt wysokie krawężniki,PIESZO Brak bieżącego utrzymania czystości/odśnieżania,PIESZO Niewystarczająca liczba przejść dla pieszych,"PIESZO Brak miejsc wypoczynku na trasie dojścia (np. ławki, zieleń)",PIESZO Uciążliwy ruch kołowy,PIESZO Niewłaściwe oświetlenie ciągów pieszych,Liczba osób w gospodarstwie domowym [ogółem],Liczba osób w gospodarstwie domowym [powyżej 6 roku życia],Liczba rowerów w gosp. dom.,Przedział wiekowy,Płeć,Kondycja fizyczna,Opieka nad innymi osobami,Posiadanie prawa jazdy kat. B,Posiadanie biletu okresowego,Posiadanie ulgi na przejazd komunikację zbiorową,ŹRÓDŁO Z jakiego miejsca,ŹRÓDŁO Nr rejonu,CEL Do jakiego miejsca,CEL Nr rejonu,Pora dnia (godzina),Motywacje (skąd-dokąd),Środek transportu grupa,Liczba aut w gosp. dom.,Przebyta odległość,age_sex_comb,CEL_dom,CEL_inne,CEL_praca,CEL_szkoła,CEL_uczelnia
1235,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4,1,1,0,1,0,0.0,Inne,143.0,dom,142.0,2,Inne-dom,rower,2.0,882.2582881722152,45-60_K,1,0,0,0,0
1236,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4,1,1,0,1,0,0.0,dom,142.0,praca,1.0,1,dom-praca,komunikacja samochodowa,2.0,3942.9109891976696,45-60_K,0,0,1,0,0
1237,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4,1,1,0,1,0,0.0,praca,1.0,dom,142.0,3,praca-dom,komunikacja samochodowa,2.0,3942.9109891976696,45-60_K,1,0,0,0,0
1238,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,2,1,1,0,1,1,0.5,dom,142.0,uczelnia,2.0,1,dom-uczelnia,komunikacja zbiorowa,2.0,4370.607199925701,20-24_K,0,0,0,0,1
1240,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,3,0,1,0,1,1,0.5,dom,142.0,inne,1.0,3,dom-Inne,rower,1.0,3942.9109891976696,25-44_M,0,1,0,0,0
1241,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,3,0,1,0,1,1,0.5,Inne,1.0,dom,142.0,4,Inne-dom,rower,1.0,3942.9109891976696,25-44_M,1,0,0,0,0
1242,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,0.0,3,1,1,1,0,1,0.0,dom,144.0,inne,144.0,3,dom-Inne,pieszo,0.0,0.0,25-44_K,0,1,0,0,0
1243,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,0.0,3,1,1,1,0,1,0.0,Inne,144.0,dom,144.0,4,Inne-dom,pieszo,0.0,0.0,25-44_K,1,0,0,0,0
1244,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,4.0,3.0,0.0,3,0,1,1,0,1,0.0,dom,144.0,inne,144.0,3,dom-Inne,pieszo,0.0,0.0,25-44_M,0,1,0,0,0
1245,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,4.0,3.0,0.0,3,0,1,1,0,1,0.0,Inne,144.0,dom,144.0,4,Inne-dom,pieszo,0.0,0.0,25-44_M,1,0,0,0,0
1246,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,0.0,0,0,1,0,0,0,0.5,dom,144.0,inne,144.0,3,dom-Inne,pieszo,0.0,0.0,6-15_M,0,1,0,0,0
1247,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,0.0,0,0,1,0,0,0,0.5,Inne,144.0,dom,144.0,4,Inne-dom,pieszo,0.0,0.0,6-15_M,1,0,0,0,0
1248,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,0,0,1.0,dom,142.0,inne,140.0,2,dom-Inne,pieszo,1.0,642.0177142197875,61-x_K,0,1,0,0,0
1249,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,0.0,5,1,1,0,0,0,1.0,Inne,140.0,dom,142.0,2,Inne-dom,pieszo,1.0,642.0177142197875,61-x_K,1,0,0,0,0
1250,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,3,1,1,0,0,0,0.0,dom,142.0,praca,3.0,1,dom-praca,komunikacja samochodowa,2.0,4325.853765362609,25-44_K,0,0,1,0,0
1251,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,3,1,1,0,0,0,0.0,praca,3.0,dom,142.0,3,praca-dom,komunikacja samochodowa,2.0,4325.853765362609,25-44_K,1,0,0,0,0
1252,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,3,0,1,0,0,0,0.0,dom,142.0,inne,143.0,3,dom-Inne,pieszo,2.0,882.2582881722152,25-44_M,0,1,0,0,0
1253,3,3,3,1,0,0,0,1,0,0,0,0,0,0,0,3.0,3.0,2.0,3,0,1,0,0,0,0.0,Inne,143.0,dom,142.0,4,Inne-dom,pieszo,2.0,882.2582881722152,25-44_M,1,0,0,0,0
1254,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,1,0,1,0,0,0,0.5,dom,142.0,uczelnia,453.0,1,dom-uczelnia,rower,2.0,1889.6265580634627,16-19_M,0,0,0,0,1
1255,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,1,0,1,0,0,0,0.5,uczelnia,453.0,dom,142.0,3,uczelnia-dom,rower,2.0,1889.6265580634627,16-19_M,1,0,0,0,0
1256,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,3,0,1,0,1,0,0.0,dom,23.0,inne,135.0,2,dom-Inne,pieszo,1.0,1966.5404777022645,25-44_M,0,1,0,0,0
1257,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,3,0,1,0,1,0,0.0,Inne,135.0,dom,23.0,2,Inne-dom,pieszo,1.0,1966.5404777022645,25-44_M,1,0,0,0,0
1258,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,1,1,0,0,1,0.5,dom,58.0,uczelnia,59.0,1,dom-uczelnia,pieszo,0.0,407.9731632123516,20-24_K,0,0,0,0,1
1259,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,1,1,0,0,1,0.5,uczelnia,59.0,dom,58.0,3,uczelnia-dom,pieszo,0.0,407.9731632123516,20-24_K,1,0,0,0,0
1260,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,2,0,1,0,1,1,0.5,dom,24.0,uczelnia,453.0,1,dom-uczelnia,rower,0.0,1101.8218361032564,20-24_M,0,0,0,0,1
1261,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,2,0,1,0,1,1,0.5,uczelnia,453.0,dom,24.0,2,uczelnia-dom,rower,0.0,1101.8218361032564,20-24_M,1,0,0,0,0
1264,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,4.0,3.0,1.0,3,1,1,1,1,0,0.0,dom,121.0,szkoła,46.0,1,dom-szkoła,komunikacja samochodowa,1.0,1615.6194024333536,25-44_K,0,0,0,1,0
1265,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,4.0,3.0,1.0,3,1,1,1,1,0,0.0,szkoła,46.0,dom,121.0,3,szkoła-dom,komunikacja samochodowa,1.0,1615.6194024333536,25-44_K,1,0,0,0,0
1266,3,3,3,0,1,0,1,1,0,0,0,0,0,0,0,4.0,3.0,1.0,3,0,1,0,0,0,0.0,dom,121.0,inne,115.0,3,dom-Inne,pieszo,1.0,1090.8230006436186,25-44_M,0,1,0,0,0
1267,3,3,3,0,1,0,1,1,0,0,0,0,0,0,0,4.0,3.0,1.0,3,0,1,0,0,0,0.0,Inne,115.0,dom,121.0,3,Inne-dom,pieszo,1.0,1090.8230006436186,25-44_M,1,0,0,0,0
1268,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,4.0,3.0,1.0,0,1,1,0,0,0,0.5,dom,121.0,inne,115.0,3,dom-Inne,pieszo,1.0,1090.8230006436186,6-15_K,0,1,0,0,0
1269,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,4.0,3.0,1.0,0,1,1,0,0,0,0.5,Inne,115.0,dom,121.0,3,Inne-dom,pieszo,1.0,1090.8230006436186,6-15_K,1,0,0,0,0
1271,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,5,0,1,0,1,0,1.0,dom,48.0,inne,96.0,3,dom-Inne,komunikacja samochodowa,2.0,4974.258333391192,66-x_M,0,1,0,0,0
1272,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,5,0,1,0,1,0,1.0,Inne,96.0,dom,48.0,3,Inne-dom,komunikacja samochodowa,2.0,4974.258333391192,66-x_M,1,0,0,0,0
1275,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,3,1,0,0,1,0,0.0,dom,137.0,inne,16.0,3,dom-Inne,komunikacja samochodowa,0.0,3361.2025718761142,25-44_K,0,1,0,0,0
1276,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.0,1.0,3,1,0,0,1,0,0.0,Inne,16.0,dom,137.0,3,Inne-dom,komunikacja samochodowa,0.0,3361.2025718761142,25-44_K,1,0,0,0,0
1279,4,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1.0,1.0,4,1,1,0,0,1,0.0,dom,342.0,inne,38.0,2,dom-Inne,pieszo,0.0,451.6124140474436,45-60_K,0,1,0,0,0
1280,4,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1.0,1.0,4,1,1,0,0,1,0.0,Inne,38.0,dom,342.0,3,Inne-dom,pieszo,0.0,451.6124140474436,45-60_K,1,0,0,0,0
1281,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,3,0,1,0,1,1,0.0,dom,137.0,praca,123.0,1,dom-praca,komunikacja samochodowa,1.0,3951.9744216158297,25-44_M,0,0,1,0,0
1282,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,3,0,1,0,1,1,0.0,praca,123.0,dom,137.0,3,praca-dom,komunikacja samochodowa,1.0,3951.9744216158297,25-44_M,1,0,0,0,0
1283,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,3,1,1,0,0,1,0.0,dom,137.0,praca,116.0,2,dom-praca,komunikacja zbiorowa,1.0,5310.318047839161,25-44_K,0,0,1,0,0
1284,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,3,1,1,0,0,1,0.0,praca,116.0,dom,137.0,4,praca-dom,komunikacja zbiorowa,1.0,5310.318047839161,25-44_K,1,0,0,0,0
1285,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,0,1,1,0,0,1,1.0,dom,137.0,szkoła,132.0,1,dom-szkoła,komunikacja samochodowa,1.0,1705.1144083294384,6-15_K,0,0,0,1,0
1286,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,3.0,0,1,1,0,0,1,1.0,szkoła,132.0,dom,137.0,3,szkoła-dom,komunikacja zbiorowa,1.0,1705.1144083294384,6-15_K,1,0,0,0,0
