,Unnamed: 0,travel_id,lat,long,time,mean_of_transport,geometry,building_id
1870,1870,99f52c74-0421-4541-9219-1107adc4dbdb,16.975819935748667,51.1266204,2019-11-20 15:10:00,Pieszo,POINT (16.97581993574867 51.1266204),496
1880,1880,d9b23e30-a2f5-491c-9b26-4b044b39b58e,16.960061,51.124065,2019-11-21 21:40:48,Samochód osobowy jako kierowca,POINT (16.960061 51.124065),435
1888,1888,8122754a-0722-4325-83cf-669a30243ecf,16.9686035,51.1220217,2019-11-19 19:56:00,Samochód osobowy jako kierowca,POINT (16.9686035 51.1220217),806
1895,1895,a347daaf-4897-4fca-ac94-c98bd98dc231,16.975819935748667,51.1266204,2019-11-21 17:30:00,Samochód osobowy jako kierowca,POINT (16.97581993574867 51.1266204),496
1896,1896,a347daaf-4897-4fca-ac94-c98bd98dc231,16.9630277,51.122910499999996,2019-11-21 17:35:00,Samochód osobowy jako kierowca,POINT (16.9630277 51.1229105),132
1898,1898,0d855e42-fef7-4356-a41f-c07e87a69ebd,16.970900699999998,51.1235443,2019-11-22 12:05:00,Komunikacja autobusowa,POINT (16.9709007 51.1235443),726
1908,1908,8b563038-80bc-4920-958f-bd6b8834bf01,16.9722857,51.127770500000004,2019-11-22 00:10:00,Samochód osobowy jako kierowca,POINT (16.9722857 51.1277705),637
1914,1914,c5118d12-ef48-4e86-9bc5-fc22203010a5,16.963867999999998,51.129033299999996,2019-11-21 14:00:00,Tramwaj,POINT (16.963868 51.1290333),498
1925,1925,7db22814-57c4-493d-8c5d-ba9071b1ab34,16.9591797,51.1268743,2019-11-25 17:11:40,Rower prywatny,POINT (16.9591797 51.1268743),38
1927,1927,7bc0cc0e-5fd8-4446-bebc-36b295c73f73,16.976004,51.1270346,2019-11-22 18:00:00,Pieszo,POINT (16.976004 51.1270346),496
1928,1928,7bc0cc0e-5fd8-4446-bebc-36b295c73f73,16.9637222,51.1233266,2019-11-22 18:15:00,Pieszo,POINT (16.9637222 51.1233266),801
1932,1932,eb3d1ff0-7ca9-4d7b-8a36-59b91614e426,16.968336899999997,51.1220226,2019-11-27 15:15:29,Rower prywatny,POINT (16.9683369 51.1220226),806
1938,1938,910bb32e-b6b7-43a1-b82b-2557920005d1,16.9638253,51.1264047,2019-10-27 21:30:00,Tramwaj,POINT (16.9638253 51.1264047),414
1971,1971,56451ccd-5d88-438c-88c7-6e72c6ed0272,16.9697476,51.126557700000006,2019-10-24 16:00:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
1973,1973,f7f1de63-6abc-4d6a-a302-d529b7168c02,16.9613478,51.122952000000005,2019-10-25 15:15:00,Samochód osobowy jako kierowca,POINT (16.9613478 51.12295200000001),302
1997,1997,451bf790-2247-403d-ba31-f5bca388d8db,16.9588172,51.1265201,2019-10-03 17:00:00,Samochód osobowy jako kierowca,POINT (16.9588172 51.1265201),178
2002,2002,557c3567-0486-4d98-adc6-5fcdaf44a7de,16.9697476,51.126557700000006,2019-11-06 17:20:22,Pieszo,POINT (16.9697476 51.12655770000001),521
2014,2014,d1479f28-fe48-4590-b9e9-e9d8eeb99c3d,16.969399300000003,51.1258263,2019-11-12 16:08:48,Tramwaj,POINT (16.9693993 51.1258263),289
2020,2020,5c81ccb6-a155-462a-8e48-8f87ca414963,16.963195000000002,51.127700899999994,2019-11-13 20:56:50,Samochód osobowy jako kierowca,POINT (16.963195 51.12770089999999),279
2081,2081,e7af4cfe-b8de-4693-93b5-581e058debf9,16.975819935748667,51.1266204,2019-11-20 16:00:00,Pieszo,POINT (16.97581993574867 51.1266204),496
2082,2082,e7af4cfe-b8de-4693-93b5-581e058debf9,16.9707581,51.1219943,2019-11-20 16:10:00,Pieszo,POINT (16.9707581 51.1219943),474
2098,2098,0bb63c99-7086-40ef-816d-fbdefed527de,16.971590399999997,51.126168,2019-11-20 23:05:00,Komunikacja autobusowa,POINT (16.9715904 51.126168),395
2114,2114,43af58dd-7b44-4ec3-a9fb-69e6de17ab46,16.9591797,51.1268743,2019-11-25 19:36:40,Rower prywatny,POINT (16.9591797 51.1268743),38
2115,2115,08ca27fa-835b-4a40-aa1a-9aa8dee48afb,16.975819935748667,51.1266204,2019-11-19 08:40:00,Tramwaj,POINT (16.97581993574867 51.1266204),496
2117,2117,9d2f0256-c6c2-41e6-83ec-7c18afae76f5,16.968336899999997,51.1220226,2019-11-27 18:00:29,Pieszo,POINT (16.9683369 51.1220226),806
2124,2124,367e270d-77f1-4afd-903e-75ba02d1d56c,16.9603031,51.1237427,2019-11-05 15:40:59,Komunikacja autobusowa,POINT (16.9603031 51.1237427),670
2126,2126,7c3eb247-68c4-4743-8878-7a487abf77b1,16.9608293,51.123380700000006,2019-11-13 15:13:14,Komunikacja autobusowa,POINT (16.9608293 51.12338070000001),670
2154,2154,3919860f-1b7b-4503-a6a0-f7c12925e438,16.9697476,51.126557700000006,2019-10-24 18:15:00,Samochód osobowy jako kierowca,POINT (16.9697476 51.12655770000001),521
2168,2168,57c541e7-6660-4f41-a1d4-d66661e8fedf,16.9728699,51.1251612,2019-10-29 16:20:33,Tramwaj,POINT (16.9728699 51.1251612),607
2172,2172,4b818b68-4ea5-4872-a399-01cf9075682c,16.9588172,51.1265201,2019-10-03 20:47:00,Samochód osobowy jako kierowca,POINT (16.9588172 51.1265201),178
2175,2175,4ce8dddb-0bbb-4ee0-88e3-5347cfc27766,16.9697476,51.126557700000006,2019-11-06 20:20:22,Tramwaj,POINT (16.9697476 51.12655770000001),521
2246,2246,3c6781ab-7383-4e7d-8c49-6c12f46cf33f,16.969399300000003,51.1258263,2019-11-22 15:05:00,Tramwaj,POINT (16.9693993 51.1258263),289
2250,2250,6f82c3fc-f551-40f3-8952-8429e9856e26,16.968336899999997,51.1220226,2019-11-27 19:20:29,Pieszo,POINT (16.9683369 51.1220226),806
2258,2258,9477e206-0ef0-481d-af84-7c0196f93e4e,16.9613478,51.122952000000005,2019-10-25 22:45:00,Pieszo,POINT (16.9613478 51.12295200000001),302
2276,2276,10a45032-0602-4440-9214-237492177353,16.9697476,51.126557700000006,2019-11-06 23:14:22,Komunikacja autobusowa,POINT (16.9697476 51.12655770000001),521
2288,2288,7868c455-09c7-437e-8152-36ea703cb9fe,16.975819935748667,51.1266204,2019-11-13 16:45:34,Tramwaj,POINT (16.97581993574867 51.1266204),496
2294,2294,3d747cdf-7b1a-424b-bbf4-af72da74e9a8,16.9635561,51.1292124,2019-11-14 17:15:00,Tramwaj,POINT (16.9635561 51.1292124),498
2296,2296,9f385522-b8b3-4821-a0c7-660cce83c158,16.9585158,51.127615000000006,2019-11-18 15:42:00,Komunikacja autobusowa,POINT (16.9585158 51.12761500000001),75
2319,2319,43fc85a1-ef1c-4977-bcca-de9ce8c1aa15,16.9613478,51.122952000000005,2019-10-25 22:50:00,Komunikacja autobusowa,POINT (16.9613478 51.12295200000001),302
2335,2335,33f9aef7-51d5-4f80-ac04-b3378dd88e4d,16.975819935748667,51.1266204,2019-11-13 16:55:34,Pieszo,POINT (16.97581993574867 51.1266204),496
2350,2350,d066b951-0be5-4aaf-b830-99f16c9c2dfe,16.9664146,51.122911200000004,2019-11-18 11:23:00,Pieszo,POINT (16.9664146 51.1229112),803
2352,2352,447e8057-38d9-49da-9df7-6f3de0d1479d,16.9707581,51.1219943,2019-11-18 18:38:00,Pieszo,POINT (16.9707581 51.1219943),474
2354,2354,77997cf7-8642-460d-87e9-9c3a2959e150,16.9608293,51.123380700000006,2019-11-21 19:05:00,Komunikacja autobusowa,POINT (16.9608293 51.12338070000001),670
2362,2362,941056ef-4600-44df-9d2d-4087651a019a,16.965529800000002,51.1303644,2019-10-25 14:34:00,Pieszo,POINT (16.9655298 51.1303644),684
2364,2364,f6f67d04-42c9-4875-8876-2bedde861521,16.9656663,51.1224305,2019-10-25 13:35:00,Komunikacja autobusowa,POINT (16.9656663 51.1224305),803
2410,2410,88de7c9e-7d0f-4c02-b676-c789410a0478,16.9697476,51.126557700000006,2019-11-05 16:34:15,Pieszo,POINT (16.9697476 51.12655770000001),521
2411,2411,1289d223-9b53-4554-838a-da002d62f26c,16.965529800000002,51.1303644,2019-11-08 17:00:00,Pieszo,POINT (16.9655298 51.1303644),684
2412,2412,1289d223-9b53-4554-838a-da002d62f26c,16.95926,51.126315600000005,2019-11-08 17:10:00,Pieszo,POINT (16.95926 51.12631560000001),643
2423,2423,2d453ad9-c9bf-4868-ae95-7ea08ead8832,16.965529800000002,51.1303644,2019-10-25 15:19:00,Pieszo,POINT (16.9655298 51.1303644),684
2424,2424,2d453ad9-c9bf-4868-ae95-7ea08ead8832,16.961908899999997,51.12943129999999,2019-10-25 15:22:00,Pieszo,POINT (16.9619089 51.12943129999999),586
2426,2426,fc1dd0db-7042-4639-a170-eb913f3092c4,16.965529800000002,51.1303644,2019-10-26 00:17:00,Komunikacja autobusowa,POINT (16.9655298 51.1303644),684
2433,2433,1289d223-9b53-4554-838a-da002d62f26c,16.965529800000002,51.1303644,2019-11-08 17:20:00,Tramwaj,POINT (16.9655298 51.1303644),684
2445,2445,d3507530-b38f-468e-8318-025837b8635c,16.9702013,51.129427299999996,2019-10-26 17:43:00,Rower prywatny,POINT (16.9702013 51.1294273),44
2446,2446,6dbde234-d978-4ad6-bed4-69934f0a50f6,16.961908899999997,51.12943129999999,2019-10-25 16:22:00,Pieszo,POINT (16.9619089 51.12943129999999),586
2449,2449,273600fc-901c-4bb8-a7a2-0745753bddfb,16.9697476,51.126557700000006,2019-10-24 12:37:00,Pieszo,POINT (16.9697476 51.12655770000001),521
2454,2454,c8ac261c-863f-40bf-b9d3-2687243ed212,16.95926,51.126315600000005,2019-11-08 19:00:00,Pieszo,POINT (16.95926 51.12631560000001),643
2455,2455,c8ac261c-863f-40bf-b9d3-2687243ed212,16.965529800000002,51.1303644,2019-11-08 19:10:00,Pieszo,POINT (16.9655298 51.1303644),684
2468,2468,fc1dd0db-7042-4639-a170-eb913f3092c4,16.965529800000002,51.1303644,2019-10-26 00:05:00,Pieszo,POINT (16.9655298 51.1303644),684
2469,2469,fc1dd0db-7042-4639-a170-eb913f3092c4,16.9652056,51.127138,2019-10-26 00:11:00,Pieszo,POINT (16.9652056 51.127138),737
2484,2484,028c0568-cc20-4142-9290-7fe77e0ddc2e,16.9702013,51.129427299999996,2019-10-26 18:10:00,Rower prywatny,POINT (16.9702013 51.1294273),44
2486,2486,3cd23835-63e8-4db0-b1b8-2c5a37fe2bae,16.9697476,51.126557700000006,2019-10-24 15:00:00,Pieszo,POINT (16.9697476 51.12655770000001),521
2503,2503,7891ba83-2261-46b9-8386-10d5e7e37b65,16.9697476,51.126557700000006,2019-10-24 16:07:00,Pieszo,POINT (16.9697476 51.12655770000001),521
2516,2516,c8ac261c-863f-40bf-b9d3-2687243ed212,16.965529800000002,51.1303644,2019-11-08 19:00:00,Tramwaj,POINT (16.9655298 51.1303644),684
2519,2519,a368837e-40e2-4a8f-b6d2-f19df3637ef1,16.9627026,51.12773370000001,2019-11-15 16:43:00,Pieszo,POINT (16.9627026 51.12773370000001),292
2521,2521,58b4a090-23bd-4cef-9dc0-eb092509d473,16.961908899999997,51.12943129999999,2019-10-25 19:33:00,Samochód osobowy jako pasażer,POINT (16.9619089 51.12943129999999),586
2526,2526,ee05656f-0cbf-48b2-bab4-01dbd9c29e0d,16.9627026,51.12773370000001,2019-11-15 17:00:00,Pieszo,POINT (16.9627026 51.12773370000001),292
2531,2531,76a23f02-b739-4f14-875d-e9c99eea3a94,16.95926,51.126315600000005,2019-11-08 00:15:00,Komunikacja autobusowa,POINT (16.95926 51.12631560000001),643
