destination_region,dom,inne,praca,szkoła,uczelnia
230.0,7.0,18.0,7.0,0.0,0.0
231.0,0.0,2.0,2.0,0.0,0.0
232.0,7.0,0.0,0.0,0.0,0.0
233.0,1.0,1.0,0.0,0.0,0.0
234.0,9.0,2.0,0.0,0.0,0.0
235.0,5.0,0.0,2.0,0.0,0.0
238.0,1.0,0.0,0.0,0.0,0.0
240.0,3.0,0.0,0.0,0.0,0.0
241.0,3.0,2.0,0.0,0.0,0.0
242.0,9.0,4.0,1.0,0.0,0.0
243.0,1.0,0.0,1.0,0.0,0.0
244.0,2.0,2.0,0.0,0.0,0.0
245.0,1.0,1.0,4.0,0.0,0.0
246.0,0.0,0.0,1.0,0.0,0.0
247.0,28.0,8.0,4.0,4.0,1.0
248.0,0.0,0.0,2.0,0.0,0.0
249.0,1.0,0.0,1.0,0.0,0.0
250.0,4.0,1.0,0.0,0.0,0.0
251.0,0.0,0.0,1.0,0.0,0.0
252.0,0.0,9.0,19.0,0.0,0.0
255.0,15.0,1.0,1.0,0.0,0.0
256.0,29.0,3.0,2.0,0.0,0.0
257.0,6.0,8.0,1.0,0.0,0.0
258.0,13.0,3.0,1.0,0.0,0.0
259.0,21.0,0.0,3.0,5.0,0.0
260.0,8.0,10.0,4.0,0.0,0.0
261.0,26.0,13.0,4.0,12.0,0.0
262.0,24.0,4.0,2.0,0.0,0.0
263.0,2.0,0.0,2.0,0.0,0.0
264.0,4.0,2.0,0.0,0.0,0.0
265.0,2.0,1.0,0.0,0.0,0.0
266.0,0.0,2.0,3.0,0.0,0.0
267.0,10.0,0.0,2.0,0.0,0.0
268.0,0.0,1.0,2.0,0.0,0.0
269.0,0.0,0.0,1.0,0.0,0.0
270.0,0.0,4.0,3.0,0.0,0.0
271.0,1.0,0.0,0.0,0.0,0.0
272.0,3.0,0.0,0.0,0.0,0.0
273.0,3.0,0.0,1.0,0.0,0.0
274.0,2.0,0.0,4.0,0.0,0.0
275.0,20.0,1.0,3.0,0.0,0.0
276.0,11.0,0.0,2.0,0.0,0.0
277.0,15.0,0.0,3.0,5.0,0.0
