,user_id,travel_id,duration_time,mean_of_transport,distance
21,da78011c-7dfc-4398-b62c-09d928082fac,2f35890b-970a-40a1-98db-7d4f09be383c,8.0,Pieszo,8163
22,597df992-547d-40aa-9af8-e133385e32f6,2db41237-4b3e-4774-a6e0-dc91e7eb6a33,10.0,Samochód osobowy jako kierowca,4953
23,69d786c7-577e-46d5-a0b8-a628710f3e48,4f532475-a849-4445-94e5-f770535e041a,25.0,Samochód osobowy jako kierowca,8446
24,06849ad2-d314-48d3-bbf4-f9171cb45e2b,11857388-dfb6-428c-8afb-15993a28307a,45.0,Komunikacja autobusowa,10826
25,209e99ed-39ab-4c9d-9969-2b7b18cb4207,85714321-8e80-41cf-aa79-0df01ee72401,25.0,Tramwaj,10742
26,63c15f82-5faa-4a4c-b9a2-919eff2d4217,3862fd33-fe73-4b89-9ab8-97ac5ed62c05,40.0,Tramwaj,11272
27,5abe5273-509d-4071-a4e5-13c2fbdafc10,b43c67c8-7d79-4dc9-9dd3-cdc4cc40ae90,30.0,Samochód osobowy jako kierowca,7994
28,66d3abcc-280a-4225-857b-54735b5a7601,66c64333-e5e0-4fbf-ab0f-4fbe5ff302e2,55.0,Komunikacja autobusowa,7473
29,75de9ba2-6ab7-4d36-88c6-a4b56a133aa6,2fc251b2-37a3-46e7-9303-b8e64c37cb23,35.0,Komunikacja autobusowa,5343
30,71dad404-eaeb-4e5d-ae08-a6ce34f18410,54f3e1aa-5179-4254-a4a0-d1fa19fee989,10.0,Pociąg,8769
31,b98db1c7-7bf8-43bf-ad0f-37d54872e04a,487faba4-753a-487d-8ba8-d723e0e12ce7,25.0,Samochód osobowy jako kierowca,9638
32,89e73109-e67c-4980-af89-6b16ea5b9b59,ecbd9cd7-0bb4-412e-8da4-cecd75499fba,35.0,Tramwaj,6183
33,5d8025e6-99aa-4c4a-88c7-c901afa02bbf,09e3a905-7b56-4771-9225-685daf4a685b,40.0,Samochód osobowy jako kierowca,8888
34,a891bad6-b9d1-4ed6-9786-8cbb382ae8f7,420edc2d-2224-4eaa-8966-bac71a0c0b0d,15.0,Komunikacja autobusowa,441
35,972f9f8c-f61a-4994-bc36-46f09b603fbe,bce7ec3e-802f-4b4e-bacc-bad4ef506594,25.0,Samochód osobowy jako kierowca,8723
36,c13e727c-6434-463a-9f9c-ab8b2709f188,425c0fa6-7568-4ff2-a7ec-6ce4e956f941,10.0,Samochód osobowy jako kierowca,3756
37,9a5bbec8-260e-49aa-94ee-55cfee872ceb,f69c7fc4-33c9-49ae-b802-2e39c07dbb75,40.0,Samochód osobowy jako kierowca,10742
38,b001ae15-4e69-445a-b47f-5fe020f415aa,0f1c74ad-15c0-4e72-9e2a-dda8b3f6af40,20.0,Samochód osobowy jako kierowca,570
39,38289213-e71b-417d-97db-2869536fd881,4af4b2e4-9d06-4cd2-aa52-d13fbf7dd7bd,50.0,Komunikacja autobusowa,10749
40,11598564-cc88-4708-9860-77bdd7ebeff9,340206ee-4b72-41d2-b790-7d63bbceaf63,10.0,Komunikacja autobusowa,3106
41,ad467775-c406-435d-ad75-97d329f2750d,bd3fe683-6e5f-4164-bce4-b5d8bd61c4d3,10.0,Samochód osobowy jako pasażer,1671
42,1893c3ff-555e-473a-a842-ae67750774c1,bcf70ef0-e485-41c7-9387-16a8085a22ac,15.0,Tramwaj,1904
43,cba3b215-4956-4b0a-85e8-96806d7bdaf5,d96ed1db-0b21-4e74-9eb6-232fde240d90,10.0,Hulajnoga elektryczna,1502
44,b0588fc1-bc99-4232-a826-bd53286d0862,64f75827-afce-4702-94c1-29926adb50f9,5.0,Samochód osobowy jako kierowca,694
45,5d1075d9-42e9-410f-b03f-ae4b090ded53,127db4ca-d580-452f-a677-744b7f4da570,12.0,Pieszo,2027
46,5685afcd-6e9f-44c4-9830-3bff3a9fe34f,7bb2808f-51b9-4d36-847f-70df3034a5e3,11.0,Samochód osobowy jako kierowca,6217
47,e2025240-c070-46bf-861d-cb7d9da0df50,28a375b7-76e7-456b-8edb-7be93e5b3449,40.0,Samochód osobowy jako kierowca,7863
48,cea5c21b-7bd5-4952-89a7-177a92d88964,ff50ac3e-952e-4aad-be80-7de4227935f8,15.0,Hulajnoga elektryczna,1921
49,fed14836-e4dd-4b64-b537-08c8479f2dd8,17c5cca5-e8cd-4180-82f7-ab37e60faf76,35.0,Tramwaj,6331
50,505328b8-11f7-4cf0-85ab-3851442ed2be,a7c60b70-d6f4-4667-bf93-de6f943e2703,15.0,Tramwaj,7265
51,07c3b3ac-ba28-4128-b0ab-bb4f161b148d,9ce25aac-9bfc-41d4-a218-e74f692dee25,30.0,Tramwaj,5011
52,58949f9b-75fa-435e-8677-7e9013ea13e6,f21d2720-e517-45e5-b25a-4191cb08e61c,15.0,Tramwaj,4129
53,1d1b3c4c-436e-45c0-9cff-564d6fc0989e,2f861bea-3c46-47a9-9476-b684cd87d0b9,20.0,Hulajnoga elektryczna,9146
54,04fac007-739e-4576-bdf7-72a2c0ea330c,acf79eb6-1419-4160-b3a2-fd18a2dfd909,40.0,Samochód osobowy jako kierowca,9168
55,5a1b9dce-b06f-47d4-b7b9-130b4b8d7459,949e0cc0-23f4-43b7-9f58-96b9611faf78,60.0,Tramwaj,13955
56,1ceaba1c-de8c-4e15-86c3-cd38ea0ace0a,20c9b9c7-5970-4e3a-829a-96b3b9c61a53,5.0,Samochód osobowy jako kierowca,5405
57,c55744c7-3021-4134-9afc-7c8ebf279aa2,30f635bc-4e04-4cdb-9841-f530b1cc951a,27.0,Samochód osobowy jako kierowca,11571
58,5d042c0a-13d0-4e4b-a3fc-76716273f4ac,e7395f49-9137-44b3-bd8c-93e4ca3e46d3,12.0,Pieszo,1323
59,11c1c0cf-5118-496d-8ed0-5b9101a388ac,90fba123-8adb-481a-9aa9-6364c4d248bd,16.0,Samochód osobowy jako kierowca,5264
60,79d07bcd-dec3-4813-aa34-0f1955b57a12,fa2b20d6-83bc-4e4f-86cd-3a1e806fb091,15.0,Samochód osobowy jako pasażer,6900
61,de7b2d3a-3ada-4705-a72d-193561b4e190,2c606094-d841-41eb-8ead-799bd466ee9a,20.0,Samochód osobowy jako kierowca,8711
62,35bc4b09-82c6-4115-bd02-221ec459c550,507ddbad-0f16-485b-95b6-66fe8645484e,25.0,Rower prywatny,5535
63,d28a7770-7514-465d-b9eb-029eb1448502,87e9b45c-0adb-4fea-a80d-4d206819b7bc,40.0,Samochód osobowy jako kierowca,10190
64,a9186c28-e770-48eb-a92d-dd506e88697f,3b0fed3b-5616-4a60-9226-42960d66ae62,15.0,Komunikacja autobusowa,2666
65,a5f3913f-4120-4b6d-b42e-7c232fd48bfa,bb920665-3aed-4e4e-a771-69eb7413ba88,5.0,Pieszo,548
66,4a0cd1c7-e09c-40a0-add3-0e1b2f1b8274,76260447-ffda-4bf0-a3ef-857c894e96ec,30.0,Rower prywatny,9926
67,3cc17cbe-d0f0-4627-9d18-8fc59800a4ac,04e97280-eac0-4046-a982-2ea266e244c8,20.0,Tramwaj,3900
68,c070384e-8a16-49d3-8109-610133cb6dcc,563caaac-03c8-4f56-bfa6-757d8d78ed35,25.0,Komunikacja autobusowa,3447
69,1df44032-edb3-4e12-be24-677038619c04,acb841d0-fbde-4419-b585-ef05e8a3df31,15.0,Samochód osobowy jako kierowca,3017
70,a8226480-e022-4688-bd87-d66e97c5b44b,9634b99d-f842-46de-bc14-f4f9b2739900,20.0,Pieszo,551
71,bbdab33d-118c-407b-9767-2504169c2b15,bd53936d-017e-49bb-86b0-0c869cb50116,23.0,Samochód osobowy jako kierowca,8074
72,f9499eeb-65be-46b9-9fdf-7c63009d4451,89fad2b1-b2cb-4b8e-bd85-01c92dd72614,5.0,Samochód osobowy jako kierowca,459496
73,12180c1b-d10f-450b-afd2-13718ceb5679,f8339819-03b7-43dc-814a-bda27599b5f6,10.0,Komunikacja autobusowa,2259
74,dba8975b-54d4-413f-921e-e48c0425bcb1,4fbe177f-c4dd-41fe-93c4-30e99e766564,20.0,Samochód osobowy jako kierowca,7129
75,44f33267-ff65-443d-a28f-cac9e6940f46,93e10b8b-d5a1-450b-bf92-c13f19e39185,15.0,Samochód osobowy jako pasażer,2704
76,76beef44-66f4-4907-a3d8-5cee081bf625,86dacde8-9937-4ed8-a0ad-7cd041a27bc7,9.0,Komunikacja autobusowa,1977
77,297544b2-01fe-4881-8d1a-aec8eb722246,c3e9eb61-178c-47cb-9b1f-57da0c3558d1,35.0,Tramwaj,6568
78,484fb552-d41f-4888-ba59-e629a0dbe103,e26b951a-b060-4b6b-bfd7-0f39eb459f00,35.0,Samochód osobowy jako kierowca,9254
79,66ec4489-ad0a-4207-b9ed-309bea134326,5d83d142-5d9d-4646-85ef-3259541a1e5b,25.0,Komunikacja autobusowa,6892
80,3080f615-1253-454a-a8f3-edb21ff52eeb,5cad9d53-2f26-421e-a16c-0aa73e1765ee,15.0,Rower prywatny,2346
81,f04cab06-92d2-44e2-96af-9716b54c1253,1ce95ce6-fe63-454e-8e4c-ff273c5c93a6,26.0,Rower prywatny,7401
82,9f06be62-6f8a-45b7-a87a-e3fe78486044,f9ab220c-ba01-4644-a506-f7b384e4fd0b,30.0,Tramwaj,9346
83,fe2b4e4a-89d6-4a59-a3ae-ce3bcc72dffa,13e4bdbb-6364-4e5f-826d-c55b41d6b7ac,60.0,Rower prywatny,9531
84,41800100-a10f-458d-9d9f-0f7a4341a257,2c60912c-0840-465b-b44b-128504ba5978,10.0,Samochód osobowy jako kierowca,5458
85,a3986826-f1af-4d71-8de3-162da0763110,ae6881ce-69e1-408e-a567-0e77f5e8694b,45.0,Rower prywatny,16668
86,ee622851-3c70-4dea-80f8-913d1c62f82a,636bd9ad-89db-4ae7-bb3a-a8d22e22d773,20.0,Samochód osobowy jako kierowca,3376
87,dc2708b1-eb74-41f7-9a86-89661f644532,6850abfc-3436-40f2-b7ec-6378aa551d85,10.0,Samochód osobowy jako pasażer,5458
