,travel_id,lat,long,time,mean_of_transport
86,d96ed1db-0b21-4e74-9eb6-232fde240d90,16.9614087,51.1308749,2019-10-26 09:35:00,Hulajnoga elektryczna
87,d96ed1db-0b21-4e74-9eb6-232fde240d90,16.9547928,51.1185583,2019-10-26 09:45:00,Hulajnoga elektryczna
88,64f75827-afce-4702-94c1-29926adb50f9,16.9653183,51.1293332,2019-10-25 06:00:00,Samochód osobowy jako kierowca
89,64f75827-afce-4702-94c1-29926adb50f9,16.9660793,51.1231422,2019-10-25 06:05:00,Samochód osobowy jako kierowca
90,127db4ca-d580-452f-a677-744b7f4da570,16.9652056,51.127138,2019-10-26 16:34:00,Pieszo
91,127db4ca-d580-452f-a677-744b7f4da570,16.9510738,51.1151007,2019-10-26 16:46:00,Pieszo
92,7bb2808f-51b9-4d36-847f-70df3034a5e3,16.9607794,51.1306517,2019-10-23 05:00:00,Samochód osobowy jako kierowca
93,7bb2808f-51b9-4d36-847f-70df3034a5e3,17.0122596,51.1197361,2019-10-23 05:11:00,Samochód osobowy jako kierowca
94,28a375b7-76e7-456b-8edb-7be93e5b3449,16.9697476,51.1265577,2019-10-25 06:30:00,Samochód osobowy jako kierowca
95,28a375b7-76e7-456b-8edb-7be93e5b3449,17.0011321,51.0602972,2019-10-25 07:10:00,Samochód osobowy jako kierowca
96,ff50ac3e-952e-4aad-be80-7de4227935f8,16.9697476,51.1265577,2019-10-21 04:20:00,Hulajnoga elektryczna
97,ff50ac3e-952e-4aad-be80-7de4227935f8,16.9707228,51.1085243,2019-10-21 04:35:00,Hulajnoga elektryczna
98,17c5cca5-e8cd-4180-82f7-ab37e60faf76,16.97819633051261,51.1263106,2019-10-21 05:30:00,Tramwaj
99,17c5cca5-e8cd-4180-82f7-ab37e60faf76,16.97819633051261,51.1263106,2019-10-21 06:05:00,Tramwaj
100,a7c60b70-d6f4-4667-bf93-de6f943e2703,16.9697476,51.1265577,2019-10-24 06:40:00,Tramwaj
101,a7c60b70-d6f4-4667-bf93-de6f943e2703,17.0297847,51.0996131,2019-10-24 06:55:00,Tramwaj
102,9ce25aac-9bfc-41d4-a218-e74f692dee25,16.9778482,51.1252081,2019-10-25 08:00:00,Tramwaj
103,9ce25aac-9bfc-41d4-a218-e74f692dee25,17.0162765,51.1058769,2019-10-25 08:30:00,Tramwaj
104,f21d2720-e517-45e5-b25a-4191cb08e61c,16.9677959,51.1258725,2019-10-25 05:25:00,Tramwaj
105,f21d2720-e517-45e5-b25a-4191cb08e61c,17.0025397,51.1121629,2019-10-25 05:40:00,Tramwaj
106,2f861bea-3c46-47a9-9476-b684cd87d0b9,16.9696122,51.1219101,2019-10-24 06:20:00,Hulajnoga elektryczna
107,2f861bea-3c46-47a9-9476-b684cd87d0b9,17.0514593,51.1133982,2019-10-24 06:40:00,Hulajnoga elektryczna
108,acf79eb6-1419-4160-b3a2-fd18a2dfd909,16.9653183,51.1293332,2019-10-28 06:00:56,Samochód osobowy jako kierowca
109,acf79eb6-1419-4160-b3a2-fd18a2dfd909,17.0663418,51.0858722,2019-10-28 06:40:56,Samochód osobowy jako kierowca
110,949e0cc0-23f4-43b7-9f58-96b9611faf78,16.9734174,51.1231325,2019-10-28 06:00:53,Tramwaj
111,949e0cc0-23f4-43b7-9f58-96b9611faf78,17.0969686,51.1029942,2019-10-28 07:00:53,Tramwaj
112,20c9b9c7-5970-4e3a-829a-96b3b9c61a53,17.0146294,51.1128542,2019-10-28 14:25:17,Samochód osobowy jako kierowca
113,20c9b9c7-5970-4e3a-829a-96b3b9c61a53,16.9697476,51.1265577,2019-10-28 14:30:17,Samochód osobowy jako kierowca
114,30f635bc-4e04-4cdb-9841-f530b1cc951a,16.9607794,51.1306517,2019-10-28 05:53:14,Samochód osobowy jako kierowca
115,30f635bc-4e04-4cdb-9841-f530b1cc951a,17.0374812,51.1359433,2019-10-28 06:20:14,Samochód osobowy jako kierowca
116,e7395f49-9137-44b3-bd8c-93e4ca3e46d3,16.9660406,51.1219214,2019-10-28 05:45:07,Pieszo
117,e7395f49-9137-44b3-bd8c-93e4ca3e46d3,16.9774457,51.1254642,2019-10-28 05:57:07,Pieszo
118,90fba123-8adb-481a-9aa9-6364c4d248bd,16.9803308,51.1212473,2019-10-24 04:20:00,Samochód osobowy jako kierowca
119,90fba123-8adb-481a-9aa9-6364c4d248bd,17.0203873,51.0948613,2019-10-24 04:36:00,Samochód osobowy jako kierowca
120,fa2b20d6-83bc-4e4f-86cd-3a1e806fb091,16.9653183,51.1293332,2019-10-28 06:30:48,Samochód osobowy jako pasażer
121,fa2b20d6-83bc-4e4f-86cd-3a1e806fb091,17.0251038,51.1113789,2019-10-28 06:45:48,Samochód osobowy jako pasażer
122,2c606094-d841-41eb-8ead-799bd466ee9a,16.9660406,51.1219214,2019-10-24 06:38:00,Samochód osobowy jako kierowca
123,2c606094-d841-41eb-8ead-799bd466ee9a,17.040755809833595,51.14603596845334,2019-10-24 06:58:00,Samochód osobowy jako kierowca
124,507ddbad-0f16-485b-95b6-66fe8645484e,16.9607794,51.1306517,2019-10-28 05:40:00,Rower prywatny
125,507ddbad-0f16-485b-95b6-66fe8645484e,17.004231,51.111674,2019-10-28 06:05:00,Rower prywatny
126,87e9b45c-0adb-4fea-a80d-4d206819b7bc,16.9687768,51.1274274,2019-10-24 06:00:00,Samochód osobowy jako kierowca
127,87e9b45c-0adb-4fea-a80d-4d206819b7bc,17.05931280945112,51.11257535,2019-10-24 06:40:00,Samochód osobowy jako kierowca
128,3b0fed3b-5616-4a60-9226-42960d66ae62,16.9671483,51.1231121,2019-10-16 08:00:00,Komunikacja autobusowa
129,3b0fed3b-5616-4a60-9226-42960d66ae62,16.991127,51.1228248,2019-10-16 08:15:00,Komunikacja autobusowa
130,bb920665-3aed-4e4e-a771-69eb7413ba88,16.9778482,51.1252081,2019-10-28 10:15:48,Pieszo
131,bb920665-3aed-4e4e-a771-69eb7413ba88,16.9812916,51.1219769,2019-10-28 10:20:48,Pieszo
132,76260447-ffda-4bf0-a3ef-857c894e96ec,16.9630089,51.1267842,2019-10-28 06:45:00,Rower prywatny
133,76260447-ffda-4bf0-a3ef-857c894e96ec,17.0508339,51.113873,2019-10-28 07:15:00,Rower prywatny
