age_sex_comb,source-destination,count
25-44_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
25-44_M,"inne-dom, dom-inne",1
25-44_M,"inne-inne, inne-inne",1
25-44_M,"praca-inne, inne-dom",1
25-44_M,"praca-praca, praca-inne",1
45-60_K,"dom-praca, praca-dom",310
45-60_K,"dom-inne, inne-dom",217
45-60_K,"dom-praca, praca-inne, inne-dom",26
45-60_K,"dom-inne, inne-inne, inne-dom",13
45-60_K,"dom-praca, praca-dom, dom-inne, inne-dom",13
45-60_K,dom-praca,8
45-60_K,"dom-inne, inne-dom, dom-inne, inne-dom",7
45-60_K,dom-inne,5
45-60_K,"dom-inne, inne-inne, inne-inne, inne-dom",3
45-60_K,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",3
45-60_K,"dom-praca, praca-praca, praca-dom",3
45-60_K,inne-dom,3
45-60_K,dom-dom,2
45-60_K,"dom-inne, inne-dom, dom-praca, praca-dom",2
45-60_K,"dom-inne, inne-praca, praca-dom",2
45-60_K,"dom-praca, praca-inne, inne-inne, inne-dom",2
45-60_K,"dom-szkola, szkola-dom, dom-szkola, szkola-dom",2
45-60_K,"dom-szkola, szkola-praca, praca-dom",2
45-60_K,"dom-inne, dom-inne",1
45-60_K,"dom-inne, dom-inne, inne-inne, dom-inne, inne-dom, inne-dom",1
45-60_K,"dom-inne, inne-inne",1
45-60_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
45-60_K,"dom-inne, inne-inne, inne-praca",1
45-60_K,"dom-inne, inne-inne, inne-praca, praca-dom",1
45-60_K,"dom-inne, inne-praca, praca-inne, inne-dom",1
45-60_K,"dom-praca, inne-inne, inne-inne, inne-inne, inne-dom",1
45-60_K,"dom-praca, praca-inne",1
45-60_K,"dom-praca, praca-inne, inne-dom, dom-inne, inne-dom",1
45-60_K,"dom-praca, praca-praca, praca-praca, praca-dom",1
45-60_K,"dom-szkola, szkola-dom, dom-inne, inne-dom",1
45-60_K,"dom-szkola, szkola-dom, dom-inne, inne-szkola, szkola-dom",1
45-60_K,"dom-szkola, szkola-inne, inne-dom",1
45-60_K,"dom-szkola, szkola-inne, inne-dom, dom-szkola, szkola-dom",1
45-60_K,"dom-szkola, szkola-praca, praca-inne, inne-dom",1
45-60_K,"dom-szkola, szkola-praca, praca-szkola, szkola-dom",1
45-60_K,inne-inne,1
45-60_K,"inne-inne, inne-inne, inne-dom",1
45-60_K,"praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-dom",425
45-65_M,"dom-inne, inne-dom",197
45-65_M,"dom-praca, praca-inne, inne-dom",21
45-65_M,"dom-praca, praca-dom, dom-inne, inne-dom",17
45-65_M,dom-praca,9
45-65_M,dom-inne,7
45-65_M,"dom-inne, inne-inne, inne-dom",7
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",7
45-65_M,"dom-inne, inne-dom, dom-inne, inne-dom",6
45-65_M,dom-dom,5
45-65_M,"dom-szkola, szkola-praca, praca-dom",4
45-65_M,praca-dom,4
45-65_M,"dom-inne, inne-praca",3
45-65_M,"dom-szkola, szkola-dom",3
45-65_M,inne-dom,3
45-65_M,"dom-inne, inne-praca, praca-dom",2
45-65_M,"dom-inne, inne-praca, praca-inne, inne-dom",2
45-65_M,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",2
