age_sex_comb,source-destination,count
45-60_K,"dom-praca, praca-inne, inne-dom, dom-inne, inne-dom",1
45-60_K,"dom-praca, praca-praca, praca-praca, praca-dom",1
45-60_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-dom, dom-inne, inne-szkoła, szkoła-dom",1
45-60_K,"dom-szkoła, szkoła-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-inne, inne-dom, dom-szkoła, szkoła-dom",1
45-60_K,"dom-szkoła, szkoła-praca, praca-inne, inne-dom",1
45-60_K,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
45-60_K,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-dom",425
45-65_M,"dom-inne, inne-dom",197
45-65_M,"dom-praca, praca-inne, inne-dom",21
45-65_M,"dom-praca, praca-dom, dom-inne, inne-dom",17
45-65_M,"dom-praca, praca-dom",9
45-65_M,"dom-inne, inne-dom",7
45-65_M,"dom-inne, inne-inne, inne-dom",7
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",7
45-65_M,"dom-inne, inne-dom, dom-inne, inne-dom",6
45-65_M,"dom-szkoła, szkoła-praca, praca-dom",4
45-65_M,"dom-praca, praca-dom",4
45-65_M,"dom-inne, inne-praca, praca-dom",3
45-65_M,"dom-szkoła, szkoła-dom",3
45-65_M,"dom-inne, inne-dom",3
45-65_M,"dom-inne, inne-praca, praca-dom",2
45-65_M,"dom-inne, inne-praca, praca-inne, inne-dom",2
45-65_M,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",2
45-65_M,"dom-praca, praca-praca, praca-praca, praca-dom",2
45-65_M,"dom-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-dom, dom-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-inne, inne-praca, praca-dom, dom-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-dom, dom-inne, inne-praca, praca-inne, inne-dom, dom-praca, praca-dom",1
45-65_M,"dom-praca, praca-inne, inne-dom",1
45-65_M,"dom-praca, praca-inne, inne-inne, inne-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-praca, praca-uczelnia, uczelnia-dom",1
45-65_M,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",1
45-65_M,"dom-szkoła, szkoła-praca, praca-szkoła, szkoła-dom",1
45-65_M,"dom-uczelnia, uczelnia-dom",1
45-65_M,"dom-inne, inne-dom",1
45-65_M,"dom-praca, praca-praca, praca-dom",1
45-65_M,"dom-uczelnia, uczelnia-praca, praca-dom",1
6-15_K,"dom-szkoła, szkoła-dom",240
6-15_K,"dom-inne, inne-dom",24
6-15_K,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",19
6-15_K,"dom-szkoła, szkoła-inne, inne-dom",7
6-15_K,"dom-inne, inne-dom",2
6-15_K,"dom-inne, inne-inne, inne-dom",2
6-15_K,"dom-inne, inne-szkoła, szkoła-dom",2
6-15_K,"dom-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-dom, dom-inne, inne-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-dom, dom-praca, praca-dom",1
6-15_K,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-inne, inne-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_K,"dom-inne, inne-dom",1
6-15_K,"dom-szkoła, szkoła-szkoła, szkoła-dom",1
6-15_M,"dom-szkoła, szkoła-dom",190
6-15_M,"dom-inne, inne-dom",29
6-15_M,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",9
6-15_M,"dom-szkoła, szkoła-inne, inne-dom",9
6-15_M,"dom-szkoła, szkoła-dom",3
6-15_M,"dom-praca, praca-dom",2
6-15_M,"dom-szkoła, szkoła-inne, inne-inne, inne-dom",2
6-15_M,"dom-szkoła, szkoła-dom, dom-inne, inne-dom",1
6-15_M,"dom-szkoła, szkoła-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
6-15_M,"dom-szkoła, szkoła-praca, praca-dom",1
6-15_M,"dom-inne, inne-dom",1
6-15_M,"dom-inne, inne-szkoła, szkoła-dom",1
6-15_M,"dom-szkoła, szkoła-dom",1
61-x_K,"dom-inne, inne-dom",620
61-x_K,"dom-praca, praca-dom",62
61-x_K,"dom-inne, inne-dom, dom-inne, inne-dom",22
61-x_K,"dom-inne, inne-inne, inne-dom",18
61-x_K,"dom-inne, inne-dom",10
61-x_K,"dom-inne, inne-inne, inne-inne, inne-dom",10
61-x_K,"dom-inne, inne-dom",10
61-x_K,"dom-inne, inne-inne, inne-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-dom, dom-inne, inne-dom",3
61-x_K,"dom-praca, praca-inne, inne-dom",3
61-x_K,"dom-praca, praca-dom",2
61-x_K,"dom-inne, inne-dom, dom-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
61-x_K,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",1
61-x_K,"dom-szkoła, szkoła-dom",1
61-x_K,"dom-uczelnia, uczelnia-dom",1
61-x_K,"dom-inne, inne-dom",1
61-x_K,"dom-praca, praca-dom",1
61-x_K,"dom-praca, praca-praca, praca-dom",1
61-x_K,"dom-praca, praca-praca, praca-inne, inne-dom",1
66-x_M,"dom-inne, inne-dom",331
66-x_M,"dom-praca, praca-dom",20
66-x_M,"dom-inne, inne-inne, inne-dom",15
66-x_M,"dom-inne, inne-dom, dom-inne, inne-dom",9
66-x_M,"dom-inne, inne-inne, inne-inne, inne-dom",8
66-x_M,"dom-inne, inne-dom",5
66-x_M,"dom-inne, inne-inne, inne-dom",3
66-x_M,"dom-uczelnia, uczelnia-dom",3
66-x_M,"dom-inne, inne-inne, inne-inne, inne-inne, inne-dom",2
66-x_M,"dom-praca, praca-dom",1
66-x_M,"dom-praca, praca-dom, dom-inne, inne-dom",1
66-x_M,"dom-praca, praca-inne, inne-dom",1
66-x_M,"dom-inne, inne-dom",1
66-x_M,"dom-inne, inne-inne, inne-dom",1
66-x_M,"dom-praca, praca-inne, inne-dom",1
